t(ticks) ; id_viat ; destin ; t_estacion ; t_vida ; observ
    40287 ;      137 ;     O   ;         500 ;       ? ; entrada
    40305 ;      141 ;     O   ;         300 ;       ? ; entrada
    40326 ;      187 ;     O   ;         350 ;       ? ; entrada
    40346 ;      189 ;     O   ;         250 ;       ? ; entrada
    40366 ;      190 ;     O   ;         200 ;       ? ; entrada
    40387 ;      203 ;     O   ;         350 ;       ? ; entrada
    40408 ;      207 ;     O   ;         450 ;       ? ; entrada
    40429 ;      286 ;     N   ;          50 ;       ? ; entrada
    40452 ;      130 ;     O   ;         350 ;       ? ; entrada
    40512 ;      167 ;     N   ;         200 ;   30247 ; saida
    40798 ;      157 ;     E   ;         400 ;   30676 ; saida
    40812 ;      127 ;     E   ;         400 ;   33070 ; saida
    40825 ;      174 ;     O   ;         500 ;   28603 ; saida
    40873 ;      143 ;     O   ;         500 ;   31996 ; saida
    40887 ;      101 ;     E   ;          50 ;   35408 ; saida
    40898 ;      110 ;     E   ;         150 ;   34652 ; saida
    40912 ;      221 ;     O   ;         350 ;   27442 ; saida
    40930 ;      263 ;     O   ;         500 ;   25472 ; saida
    40935 ;      261 ;     N   ;         350 ;       ? ; entrada
    40949 ;      251 ;     N   ;         200 ;       ? ; entrada
    40962 ;      254 ;     N   ;         350 ;       ? ; entrada
    40978 ;      254 ;     N   ;         350 ;   26420 ; saida
    40982 ;      210 ;     N   ;         100 ;       ? ; entrada
    41000 ;      210 ;     N   ;         100 ;   27262 ; saida
    41010 ;      212 ;     N   ;         250 ;       ? ; entrada
    41036 ;      238 ;     N   ;          50 ;       ? ; entrada
    41056 ;      251 ;     N   ;         200 ;   26696 ; saida
    41085 ;      124 ;     S   ;         400 ;       ? ; entrada
    41111 ;      124 ;     S   ;         400 ;   34202 ; saida
    41114 ;      146 ;     N   ;         400 ;       ? ; entrada
    41128 ;      161 ;     N   ;         150 ;       ? ; entrada
    41150 ;      161 ;     N   ;         150 ;   30967 ; saida
    41176 ;      133 ;     N   ;         400 ;       ? ; entrada
    41194 ;      133 ;     N   ;         400 ;   32469 ; saida
    41197 ;      134 ;     N   ;         400 ;       ? ; entrada
    41215 ;      134 ;     N   ;         400 ;   33077 ; saida
    41218 ;      140 ;     N   ;         350 ;       ? ; entrada
    41235 ;      140 ;     N   ;         350 ;   32111 ; saida
    41239 ;      115 ;     S   ;          50 ;       ? ; entrada
    41261 ;      115 ;     S   ;          50 ;   34896 ; saida
    41265 ;      230 ;     N   ;         250 ;       ? ; entrada
    41284 ;      230 ;     N   ;         250 ;   27268 ; saida
    41287 ;      153 ;     N   ;         100 ;       ? ; entrada
    41306 ;      153 ;     N   ;         100 ;   31263 ; saida
    41309 ;      119 ;     S   ;         200 ;       ? ; entrada
    41326 ;      119 ;     S   ;         200 ;   34483 ; saida
    41331 ;      264 ;     S   ;         100 ;       ? ; entrada
    41348 ;      264 ;     S   ;         100 ;   25829 ; saida
    41359 ;      146 ;     N   ;         400 ;   31349 ; saida
    41377 ;       35 ;     N   ;         150 ;   36736 ; saida
    41391 ;       53 ;     N   ;         300 ;   36818 ; saida
    41405 ;       78 ;     N   ;         150 ;   36745 ; saida
    41419 ;       82 ;     N   ;         400 ;   36694 ; saida
    41432 ;       52 ;     N   ;         100 ;   36880 ; saida
    41445 ;       84 ;     N   ;         450 ;   36678 ; saida
    41459 ;       96 ;     N   ;         450 ;   36185 ; saida
    41472 ;      102 ;     N   ;          50 ;   35891 ; saida
    41486 ;       85 ;     N   ;         500 ;   36697 ; saida
    41500 ;       80 ;     E   ;         350 ;   36570 ; saida
    41511 ;      131 ;     O   ;         350 ;   32756 ; saida
    41529 ;      266 ;     N   ;         250 ;       ? ; entrada
    41546 ;      266 ;     N   ;         250 ;   25489 ; saida
    41554 ;      265 ;     N   ;         150 ;       ? ; entrada
    41571 ;      265 ;     N   ;         150 ;   25556 ; saida
    41582 ;      112 ;     S   ;         500 ;       ? ; entrada
    41598 ;      112 ;     S   ;         500 ;   35094 ; saida
    41686 ;       92 ;     E   ;         150 ;   36301 ; saida
    41794 ;      165 ;     N   ;         400 ;       ? ; entrada
    41958 ;      151 ;     O   ;         250 ;   31602 ; saida
    41980 ;      184 ;     O   ;         200 ;   30855 ; saida
    44513 ;      137 ;     O   ;         500 ;   35830 ; saida
    44609 ;       87 ;     E   ;         300 ;   39358 ; saida
    44626 ;      141 ;     O   ;         300 ;   35806 ; saida
    44710 ;      187 ;     O   ;         350 ;   33506 ; saida
    44739 ;      190 ;     O   ;         200 ;   33432 ; saida
    44822 ;      189 ;     O   ;         250 ;   33583 ; saida
    44851 ;      207 ;     O   ;         450 ;   32703 ; saida
    44929 ;      203 ;     O   ;         350 ;   33011 ; saida
    44941 ;      286 ;     N   ;          50 ;   28068 ; saida
    45103 ;      125 ;     N   ;         400 ;   38319 ; saida
    45106 ;      255 ;     O   ;         500 ;   30433 ; saida
    45193 ;      126 ;     N   ;         400 ;   38375 ; saida
    45539 ;      130 ;     O   ;         350 ;   36675 ; saida
    45685 ;      122 ;     S   ;         100 ;       ? ; entrada
    45704 ;      228 ;     S   ;         400 ;       ? ; entrada
    45736 ;      212 ;     N   ;         250 ;   32153 ; saida
    45754 ;      216 ;     S   ;         200 ;       ? ; entrada
    45776 ;      123 ;     S   ;         300 ;       ? ; entrada
    45807 ;      245 ;     S   ;         500 ;       ? ; entrada
    45849 ;      222 ;     S   ;          50 ;       ? ; entrada
    45861 ;      165 ;     N   ;         400 ;   35530 ; saida
    45897 ;      231 ;     O   ;         350 ;   32120 ; saida
    45924 ;      253 ;     O   ;         450 ;   31520 ; saida
    45957 ;      122 ;     S   ;         100 ;   39076 ; saida
    45980 ;      238 ;     N   ;          50 ;   32218 ; saida
    46015 ;      123 ;     S   ;         300 ;   39123 ; saida
    46046 ;      222 ;     S   ;          50 ;   33193 ; saida
    46059 ;      218 ;     S   ;         200 ;       ? ; entrada
    46076 ;      215 ;     S   ;          50 ;       ? ; entrada
    46090 ;      139 ;     S   ;         200 ;       ? ; entrada
    46102 ;      211 ;     S   ;         300 ;       ? ; entrada
    46119 ;      250 ;     O   ;         400 ;   31784 ; saida
    46133 ;       90 ;     S   ;         350 ;       ? ; entrada
    46146 ;      223 ;     S   ;         450 ;       ? ; entrada
    46168 ;      228 ;     S   ;         400 ;   32791 ; saida
    46179 ;      188 ;     S   ;         350 ;       ? ; entrada
    46191 ;      158 ;     S   ;         250 ;       ? ; entrada
    46201 ;      162 ;     S   ;         400 ;       ? ; entrada
    46210 ;      164 ;     S   ;         450 ;       ? ; entrada
    46219 ;      149 ;     S   ;          50 ;       ? ; entrada
    46229 ;      177 ;     S   ;         450 ;       ? ; entrada
    46238 ;      144 ;     S   ;         400 ;       ? ; entrada
    46247 ;      136 ;     S   ;         100 ;       ? ; entrada
    46257 ;      135 ;     S   ;         500 ;       ? ; entrada
    46276 ;      168 ;     N   ;         350 ;       ? ; entrada
    46315 ;      120 ;     O   ;         400 ;       ? ; entrada
    46338 ;      367 ;     S   ;         450 ;       ? ; entrada
    46388 ;      223 ;     S   ;         450 ;   32899 ; saida
    46404 ;      218 ;     S   ;         200 ;   33693 ; saida
    46415 ;      139 ;     S   ;         200 ;   37638 ; saida
    46428 ;      213 ;     N   ;         200 ;       ? ; entrada
    46440 ;      245 ;     S   ;         500 ;   32182 ; saida
    46461 ;      217 ;     S   ;         450 ;       ? ; entrada
    46482 ;      217 ;     S   ;         450 ;   33918 ; saida
    46495 ;       50 ;     N   ;         400 ;       ? ; entrada
    46516 ;      468 ;     S   ;         500 ;       ? ; entrada
